Name,Wind Direction,weather_uvindex,Sunrise,Latitude,weather_preciptype,weather_cin,Cloud Cover,Chance Precipitation (%),Minimum Temperature,Date time,Precipitation,Solar Radiation,Dew Point,Relative Humidity,ID,Longitude,Temperature,Maximum Temperature,Visibility,Wind Speed,weather_severerisk,Solar Energy,Heat Index,Moon Phase,Snow Depth,Sea Level Pressure,Snow,Sunset,Name,Wind Gust,Conditions,Wind Chill,weather_cape
"Sydney, NSW 2000, Australia",162.9,0,2021-06-10T06:56:18+10:00,-33.8696,rain,-0.5,100,90.5,6.8,06/10/2021,7,14,5.6,89,1da6959858,151.207,7.3,8,9.6,7.8,10,0.1,,1,0,1006.9,0,2021-06-10T16:52:50+10:00,"Sydney, NSW 2000, Australia",31,"Rain, Overcast",4.5,18.7
"Sydney, NSW 2000, Australia",303.3,0.9,2021-06-11T06:56:45+10:00,-33.8696,,-0.5,54.8,19,4.4,06/11/2021,0,93.4,4.8,79.2,1da6959858,151.207,8.4,13.2,24.1,9.9,10,0.3,,0,0,1011,0,2021-06-11T16:52:49+10:00,"Sydney, NSW 2000, Australia",33.5,Partially cloudy,2.7,0.5
"Sydney, NSW 2000, Australia",319.1,1.3,2021-06-12T06:57:10+10:00,-33.8696,,0,6.7,0,8,06/12/2021,0,128,3.7,62.4,1da6959858,151.207,10.9,16,24.1,13.9,10,0.5,,0.01,0,1015.5,0,2021-06-12T16:52:48+10:00,"Sydney, NSW 2000, Australia",41.4,Clear,5.7,0
"Sydney, NSW 2000, Australia",260.4,1.3,2021-06-13T06:57:34+10:00,-33.8696,,0,46.6,0,6.3,06/13/2021,0,123.9,4,65.3,1da6959858,151.207,10.6,16.6,24.1,4.7,10,0.4,,0.03,0,1016.9,0,2021-06-13T16:52:50+10:00,"Sydney, NSW 2000, Australia",14.4,Partially cloudy,5.3,0
"Sydney, NSW 2000, Australia",232.2,1.2,2021-06-14T06:57:57+10:00,-33.8696,,0,68.6,4.8,7.1,06/14/2021,0,125.4,5.7,71.3,1da6959858,151.207,11,16,24.1,4,10,0.5,,0.06,0,1015.8,0,2021-06-14T16:52:52+10:00,"Sydney, NSW 2000, Australia",8.3,Partially cloudy,8.5,0
"Sydney, NSW 2000, Australia",200.7,1.3,2021-06-15T06:58:19+10:00,-33.8696,,-5.1,27.4,4.8,7.2,06/15/2021,0,126.5,5.6,69.1,1da6959858,151.207,11.5,16.6,24.1,4.6,10,0.5,,0.09,0,1015,0,2021-06-15T16:52:56+10:00,"Sydney, NSW 2000, Australia",9.4,Partially cloudy,6.5,0.1
"Sydney, NSW 2000, Australia",286.5,1,2021-06-16T06:58:40+10:00,-33.8696,rain,-17,51.7,28.5,7.9,06/16/2021,1.2,110.7,6.9,72.3,1da6959858,151.207,12.1,18.3,10.5,7.5,10,0.4,,0.14,0,1013.9,0,2021-06-16T16:53:02+10:00,"Sydney, NSW 2000, Australia",32.4,Partially cloudy,9.1,16.3
"Sydney, NSW 2000, Australia",317.5,0.8,2021-06-17T06:58:59+10:00,-33.8696,,-9.8,50.9,33.2,7.3,06/17/2021,0,78.2,4.8,72.7,1da6959858,151.207,9.6,11.9,23.8,12.5,10,0.3,,0.19,0,1010.2,0,2021-06-17T16:53:09+10:00,"Sydney, NSW 2000, Australia",34.6,Partially cloudy,5.6,4.1
"Sydney, NSW 2000, Australia",263,0.9,2021-06-18T06:59:17+10:00,-33.8696,rain,-0.2,80.8,33.2,8.3,06/18/2021,0.7,80.8,5.5,63.3,1da6959858,151.207,12.4,14.5,18.1,17.7,10,0.3,,0.24,0,1007.2,0,2021-06-18T16:53:18+10:00,"Sydney, NSW 2000, Australia",54.4,Overcast,6.1,4.3
"Sydney, NSW 2000, Australia",264,1,2021-06-19T06:59:34+10:00,-33.8696,,-0.9,48.7,23.7,7.6,06/19/2021,0,107.1,4.4,63.8,1da6959858,151.207,11.4,15.8,24.1,7.2,10,0.4,,0.3,0,1013.3,0,2021-06-19T16:53:27+10:00,"Sydney, NSW 2000, Australia",37.4,Partially cloudy,7.2,0.1
"Sydney, NSW 2000, Australia",303.6,0.9,2021-06-20T06:59:50+10:00,-33.8696,,-0.1,26.5,47.5,7.7,06/20/2021,0,96.8,1.9,57.5,1da6959858,151.207,10.4,14.5,24.1,12.6,10,0.3,,0.35,0,1011.9,0,2021-06-20T16:53:39+10:00,"Sydney, NSW 2000, Australia",44.3,Partially cloudy,6,7
"Sydney, NSW 2000, Australia",282.5,1.3,2021-06-21T07:00:04+10:00,-33.8696,,-0.1,8.2,23.7,6.6,06/21/2021,0,131.6,0.5,55.2,1da6959858,151.207,9.5,13.7,24.1,12.9,10,0.5,,0.4,0,1012.6,0,2021-06-21T16:53:51+10:00,"Sydney, NSW 2000, Australia",41.4,Clear,4.3,0.3
"Sydney, NSW 2000, Australia",302.1,1.1,2021-06-22T07:00:17+10:00,-33.8696,,-0.2,36.6,9.5,8.4,06/22/2021,0,110.5,2.9,55.4,1da6959858,151.207,11.7,15.4,24.1,17.7,10,0.4,,0.44,0,1009.1,0,2021-06-22T16:54:05+10:00,"Sydney, NSW 2000, Australia",68,Partially cloudy,6.6,4.5
"Sydney, NSW 2000, Australia",270.8,1.3,2021-06-23T07:00:28+10:00,-33.8696,,-0.4,17.4,23.7,6.7,06/23/2021,0.2,132.8,0.2,52.1,1da6959858,151.207,10,12.7,23.8,19.9,10,0.5,,0.48,0,1008.8,0,2021-06-23T16:54:20+10:00,"Sydney, NSW 2000, Australia",70.9,Clear,4.7,5.4
"Sydney, NSW 2000, Australia",294.1,1.3,2021-06-24T07:00:38+10:00,-33.8696,,0,2.3,33.2,5.4,06/24/2021,0,127.3,1.6,58.6,1da6959858,151.207,9.4,13.4,24.1,12.7,10,0.5,,0.5,0,1011.9,0,2021-06-24T16:54:37+10:00,"Sydney, NSW 2000, Australia",46.1,Clear,3.6,0
"Sydney, NSW 2000, Australia",285.6,0.7,2021-06-25T07:00:46+10:00,-33.8696,rain,0,55.9,14.3,9.2,06/25/2021,0.1,100.4,2.6,54.3,1da6959858,151.207,12,15.2,24.1,12.9,36.3,0.4,,0.5,0,1011.6,0,2021-06-25T16:54:55+10:00,"Sydney, NSW 2000, Australia",38.3,Partially cloudy,7.8,5.6
